Series,Date,Value,Sector Code,Sector Description
abs,2015-01-01,18028.0,p5.3.2.1,Insurance and pension funding
abs,2015-01-01,587.0,p5.3.2.2,Activities auxiliary to insurance
abs,2015-01-01,17561.0,p5.3.3,Real estate
abs,2015-01-01,33869.0,p5.3.4,Business services
abs,2015-01-01,22928.0,p5.3.4.1,"Professional, scientific and technical "
abs,2015-01-01,10942.0,p5.3.4.2,Administrative and support services
abs,2015-01-01,57724.0,p5.4,Other services
abs,2015-01-01,8028.0,p5.4.1,Private health services
abs,2015-01-01,9233.0,p5.4.2,Private education services
abs,2015-01-01,26271.0,p5.4.3,Owner-occupied dwellings
abs,2015-01-01,320.0,p5.4.4,Non-profit institutions serving households
abs,2015-01-01,1165.0,p5.4.5,Domestic services of households
abs,2015-01-01,12707.0,p5.4.6,Other services not elsewhere classified
abs,2015-01-01,99783.0,p5.5,Government services
abs,2015-01-01,16180.0,p5.5.01,General public services
abs,2015-01-01,8723.0,p5.5.02,Defence
abs,2015-01-01,10246.0,p5.5.03,Public order and safety
abs,2015-01-01,8226.0,p5.5.04,Economic affairs
abs,2015-01-01,367.0,p5.5.05,Environmental protection
abs,2015-01-01,1247.0,p5.5.06,Housing and community amenities
abs,2015-01-01,13131.0,p5.5.07,Health
abs,2015-01-01,1809.0,p5.5.08,"Recreation, culture and religion"
abs,2015-01-01,38728.0,p5.5.09,Education
abs,2015-01-01,1126.0,p5.5.10,Social protection
abs,2015-01-01,14699.0,p6,Import duties
abs,2016-01-01,1229312.0,p0,Overall
abs,2016-01-01,93977.0,p1,Agriculture
abs,2016-01-01,59748.0,p1.1,Crops
abs,2016-01-01,3138.0,p1.1.1,Rubber
abs,2016-01-01,33063.0,p1.1.2,Oil palm
abs,2016-01-01,2246.0,p1.1.3,Paddy
abs,2016-01-01,10031.0,p1.1.4,Vegetables
abs,2016-01-01,4286.0,p1.1.5,Fruits
abs,2016-01-01,5927.0,p1.1.6,Food crops
abs,2016-01-01,1057.0,p1.1.7,Other crops
abs,2016-01-01,13154.0,p1.2,Livestock
abs,2016-01-01,8015.0,p1.2.1,Poultry
abs,2016-01-01,1044.0,p1.2.2 ,Cattle
abs,2016-01-01,4096.0,p1.2.3,Other livestocks
abs,2016-01-01,8642.0,p1.3,Forestry and logging
abs,2016-01-01,12433.0,p1.4,Fishing
abs,2016-01-01,8380.0,p1.4.1,Marine fishing
abs,2016-01-01,4053.0,p1.4.2,Aquaculture
abs,2016-01-01,105368.0,p2,Mining and quarrying
abs,2016-01-01,46821.0,p2.1,Crude oil and condensate
abs,2016-01-01,50607.0,p2.2,Natural gas 
abs,2016-01-01,7940.0,p2.3,Other mining & quarrying and supporting services
abs,2016-01-01,273899.0,p3,Manufacturing
abs,2016-01-01,33679.0,p3.1,"Vegetable and animal oils & fats, food processing, beverages and tobacco products"
abs,2016-01-01,11336.0,p3.1.1,Vegetable and animal oils & fats
abs,2016-01-01,14233.0,p3.1.2,Food processing
abs,2016-01-01,4557.0,p3.1.3,Beverages
abs,2016-01-01,3553.0,p3.1.4,Tobacco products
abs,2016-01-01,5264.0,p3.2,"Textiles, wearing apparel and leather products"
abs,2016-01-01,4584.0,p3.2.1,Textile and wearing apparel
abs,2016-01-01,680.0,p3.2.2,Leather and related products
abs,2016-01-01,14452.0,p3.3,"Wood products, furniture, paper products and printing"
abs,2016-01-01,6699.0,p3.3.1,Wood products 
abs,2016-01-01,4066.0,p3.3.2,Paper and paper products
abs,2016-01-01,3687.0,p3.3.3,Printing and reproduction of recorded media 
abs,2016-01-01,81717.0,p3.4,"Petroleum, chemical, rubber and plastic products"
abs,2016-01-01,35522.0,p3.4.1,Refined petroleum products
abs,2016-01-01,30239.0,p3.4.2,Chemicals & chemical products and pharmaceutical products 
abs,2016-01-01,6642.0,p3.4.3,Rubber products
abs,2016-01-01,9314.0,p3.4.4,Plastics products
abs,2016-01-01,32907.0,p3.5,"Non-metallic mineral products, basic metal and fabricated metal products"
abs,2016-01-01,10778.0,p3.5.1,Non-metallic mineral products
abs,2016-01-01,7476.0,p3.5.2,Basic metals
abs,2016-01-01,14653.0,p3.5.3,Fabricated metal products
abs,2016-01-01,75556.0,p3.6,"Electrical, electronic and optical products"
abs,2016-01-01,8753.0,p3.6.1,Machinery and equipment
abs,2016-01-01,5625.0,p3.6.2,Computers and peripheral equipment
abs,2016-01-01,5600.0,p3.6.3,Electrical equipment
abs,2016-01-01,50641.0,p3.6.4,"Electronic components & boards, communication equipment and consumer electronics"
abs,2016-01-01,4937.0,p3.6.5,"Manufacture of medical, precision & optical instrument, watches and clocks"
abs,2016-01-01,30325.0,p3.7,"Transport equipment, other manufacturing and repair"
abs,2016-01-01,22120.0,p3.7.1,Motor vehicles and transport equipment
abs,2016-01-01,4318.0,p3.7.2,Furniture
abs,2016-01-01,3887.0,p3.7.3,Other manufacturing and repair & installation of machinery and equipment
abs,2016-01-01,59508.0,p4,Construction
abs,2016-01-01,31746.0,p4.1,Buildings
abs,2016-01-01,16549.0,p4.1.1,Residential buildings
abs,2016-01-01,15197.0,p4.1.2,Non-residential buildings
abs,2016-01-01,17791.0,p4.2,Civil engineering
abs,2016-01-01,9972.0,p4.3,Specialised construction activities
abs,2016-01-01,680561.0,p5,Services
abs,2016-01-01,145176.0,p5.1,"Utilities, transportation & storage and information & communication"
abs,2016-01-01,27075.0,p5.1.1,Electricity and gas
abs,2016-01-01,6337.0,p5.1.2,"Water, sewerage and waste management"
abs,2016-01-01,44463.0,p5.1.3,Transportation and storage
abs,2016-01-01,10936.0,p5.1.3.1,Land transport
abs,2016-01-01,6169.0,p5.1.3.2,Water transport
abs,2016-01-01,5904.0,p5.1.3.3,Air transport
abs,2016-01-01,6230.0,p5.1.3.4,Port and airport operation
abs,2016-01-01,6621.0,p5.1.3.5,Highway operation
abs,2016-01-01,6733.0,p5.1.3.6,Support activities for transportation
abs,2016-01-01,1869.0,p5.1.3.7,Postal and courier 
abs,2016-01-01,67301.0,p5.1.4,Information and communication
abs,2016-01-01,6875.0,p5.1.4.1,Publishing and broadcasting activities 
abs,2016-01-01,44870.0,p5.1.4.2,Telecommunications
abs,2016-01-01,15556.0,p5.1.4.3,Computer and information service activities
abs,2016-01-01,234538.0,p5.2,"Wholesale and retail trade, food & beverage and accommodation"
abs,2016-01-01,195707.0,p5.2.1,Wholesale and retail trade 
abs,2016-01-01,89007.0,p5.2.1.1,Wholesale trade
abs,2016-01-01,84103.0,p5.2.1.2,Retail trade
abs,2016-01-01,22598.0,p5.2.1.3,Motor vehicles
abs,2016-01-01,30575.0,p5.2.2,Food and beverage
abs,2016-01-01,8256.0,p5.2.3,Accommodation
abs,2016-01-01,135688.0,p5.3,"Finance and insurance, real estate and business services"
abs,2016-01-01,60888.0,p5.3.1,Finance
abs,2016-01-01,51534.0,p5.3.1.1,Monetary intermediation
abs,2016-01-01,9353.0,p5.3.1.2,Other financial intermediation and activities auxiliary to finance
abs,2016-01-01,19835.0,p5.3.2,Insurance
abs,2016-01-01,19232.0,p5.3.2.1,Insurance and pension funding
abs,2016-01-01,603.0,p5.3.2.2,Activities auxiliary to insurance
abs,2016-01-01,18412.0,p5.3.3,Real estate
abs,2016-01-01,36553.0,p5.3.4,Business services
abs,2016-01-01,24829.0,p5.3.4.1,"Professional, scientific and technical "
abs,2016-01-01,11724.0,p5.3.4.2,Administrative and support services
abs,2016-01-01,60538.0,p5.4,Other services
abs,2016-01-01,8473.0,p5.4.1,Private health services
abs,2016-01-01,9856.0,p5.4.2,Private education services
abs,2016-01-01,27491.0,p5.4.3,Owner-occupied dwellings
abs,2016-01-01,329.0,p5.4.4,Non-profit institutions serving households
abs,2016-01-01,1181.0,p5.4.5,Domestic services of households
abs,2016-01-01,13208.0,p5.4.6,Other services not elsewhere classified
abs,2016-01-01,104620.0,p5.5,Government services
abs,2016-01-01,16725.0,p5.5.01,General public services
abs,2016-01-01,8743.0,p5.5.02,Defence
abs,2016-01-01,9937.0,p5.5.03,Public order and safety
abs,2016-01-01,8666.0,p5.5.04,Economic affairs
abs,2016-01-01,367.0,p5.5.05,Environmental protection
abs,2016-01-01,1485.0,p5.5.06,Housing and community amenities
abs,2016-01-01,14647.0,p5.5.07,Health
abs,2016-01-01,1811.0,p5.5.08,"Recreation, culture and religion"
abs,2016-01-01,41095.0,p5.5.09,Education
abs,2016-01-01,1144.0,p5.5.10,Social protection
abs,2016-01-01,16000.0,p6,Import duties
abs,2017-01-01,1300769.0,p0,Overall
abs,2017-01-01,99509.0,p1,Agriculture
abs,2017-01-01,66092.0,p1.1,Crops
abs,2017-01-01,3432.0,p1.1.1,Rubber
abs,2017-01-01,38366.0,p1.1.2,Oil palm
abs,2017-01-01,2225.0,p1.1.3,Paddy
abs,2017-01-01,10400.0,p1.1.4,Vegetables
abs,2017-01-01,4414.0,p1.1.5,Fruits
abs,2017-01-01,6143.0,p1.1.6,Food crops
abs,2017-01-01,1112.0,p1.1.7,Other crops
abs,2017-01-01,13827.0,p1.2,Livestock
abs,2017-01-01,8330.0,p1.2.1,Poultry
abs,2017-01-01,1029.0,p1.2.2 ,Cattle
abs,2017-01-01,4468.0,p1.2.3,Other livestocks
abs,2017-01-01,7266.0,p1.3,Forestry and logging
abs,2017-01-01,12325.0,p1.4,Fishing
abs,2017-01-01,8093.0,p1.4.1,Marine fishing
abs,2017-01-01,4231.0,p1.4.2,Aquaculture
abs,2017-01-01,105838.0,p2,Mining and quarrying
abs,2017-01-01,45807.0,p2.1,Crude oil and condensate
abs,2017-01-01,51492.0,p2.2,Natural gas 
abs,2017-01-01,8539.0,p2.3,Other mining & quarrying and supporting services
abs,2017-01-01,290464.0,p3,Manufacturing
abs,2017-01-01,37019.0,p3.1,"Vegetable and animal oils & fats, food processing, beverages and tobacco products"
abs,2017-01-01,13326.0,p3.1.1,Vegetable and animal oils & fats
abs,2017-01-01,15094.0,p3.1.2,Food processing
abs,2017-01-01,4975.0,p3.1.3,Beverages
abs,2017-01-01,3624.0,p3.1.4,Tobacco products
abs,2017-01-01,5682.0,p3.2,"Textiles, wearing apparel and leather products"
abs,2017-01-01,4960.0,p3.2.1,Textile and wearing apparel
abs,2017-01-01,722.0,p3.2.2,Leather and related products
abs,2017-01-01,15088.0,p3.3,"Wood products, furniture, paper products and printing"
abs,2017-01-01,6938.0,p3.3.1,Wood products 
abs,2017-01-01,4287.0,p3.3.2,Paper and paper products
abs,2017-01-01,3863.0,p3.3.3,Printing and reproduction of recorded media 
abs,2017-01-01,84999.0,p3.4,"Petroleum, chemical, rubber and plastic products"
abs,2017-01-01,36750.0,p3.4.1,Refined petroleum products
